n,t
22785,0.000313681
22849,0.000307216
22913,0.000308809
22977,0.000310394
23041,0.000312265
23105,0.000310235
23169,0.000313562
23233,0.000309364
23297,0.000313117
23361,0.000425542
23425,0.000373661
23489,0.000316998
23553,0.000352503
23617,0.000305592
23681,0.000320642
23745,0.000316186
23809,0.000305641
23873,0.000339077
23937,0.000302720
24001,0.000304196
24065,0.000327572
24129,0.000344017
24193,0.000337840
24257,0.000350581
24321,0.000444066
24385,0.000402928
24449,0.000315750
24513,0.000325028
24577,0.000363997
24641,0.000355383
24705,0.000318523
24769,0.000318741
24833,0.000339294
24897,0.000325869
24961,0.000323681
25025,0.000323404
25089,0.000355820
25153,0.000332195
25217,0.000347889
25281,0.000340255
25345,0.000347007
25409,0.000348928
25473,0.000351215
25537,0.000349839
25601,0.000351008
25665,0.000332493
25729,0.000361680
25793,0.000376295
25857,0.000357701
25921,0.000336780
25985,0.000337690
26049,0.000338651
26113,0.000336968
26177,0.000359810
26241,0.000337621
26305,0.000403196
26369,0.000364007
26433,0.000356958
26497,0.000358908
26561,0.000349711
26625,0.000345572
26689,0.000343532
26753,0.000371800
26817,0.000354403
26881,0.000352393
26945,0.000351314
27009,0.000346453
27073,0.000370136
27137,0.000374770
27201,0.000374859
27265,0.000378770
27329,0.000377710
27393,0.000360681
27457,0.000412492
27521,0.000358700
27585,0.000354028
27649,0.000363759
27713,0.000367245
27777,0.000372195
27841,0.000365908
27905,0.000384849
27969,0.000385710
28033,0.000391116
28097,0.000391750
28161,0.000391492
28225,0.000390146
28289,0.000393046
28353,0.000417304
28417,0.000371859
28481,0.000372552
28545,0.000396126
28609,0.000395928
28673,0.000399770
28737,0.000409978
28801,0.000399977
28865,0.000380463
28929,0.000417195
28993,0.000382136
29057,0.000393027
29121,0.000412017
29185,0.000380116
29249,0.000425759
29313,0.000435286
29377,0.000433155
29441,0.000434552
29505,0.000419842
29569,0.000429605
29633,0.000429259
29697,0.000434582
29761,0.000403139
29825,0.000412605
29889,0.000411228
29953,0.000404804
30017,0.000414578
30081,0.000391878
30145,0.000397181
30209,0.000407480
30273,0.000420913
30337,0.000441996
30401,0.000427564
30465,0.000430111
30529,0.000449708
30593,0.000426671
30657,0.000427950
30721,0.000429953
30785,0.000405469
30849,0.000415074
30913,0.000440004
30977,0.000490222
31041,0.000456192
31105,0.000464290
31169,0.000460999
31233,0.000439717
31297,0.000439221
31361,0.000451017
31425,0.000439806
31489,0.000443474
31553,0.000446705
31617,0.000436416
31681,0.000425194
31745,0.000455200
31809,0.000431549
31873,0.000436892
31937,0.000446903
32001,0.000443524
32065,0.000465440
32129,0.000462298
32193,0.000456806
32257,0.000459612
32321,0.000460444
32385,0.000459503
32449,0.000511831
32513,0.000498935
32577,0.000486326
32641,0.000485741
32705,0.000486435
32769,0.000491480
32833,0.000465916
32897,0.000464945
32961,0.000471140
33025,0.000531944
33089,0.000473321
33153,0.000469851
33217,0.000494454
33281,0.000534928
33345,0.000485434
33409,0.000482183
33473,0.000475353
33537,0.000488090
33601,0.000501810
33665,0.000503346
33729,0.000505814
33793,0.000515222
33857,0.000539904
33921,0.000496516
33985,0.000512703
34049,0.000493781
34113,0.000516084
34177,0.000501403
34241,0.000500581
34305,0.000507113
34369,0.000508451
34433,0.000501602
34497,0.000503961
34561,0.000501969
34625,0.000507787
34689,0.000512288
34753,0.000525382
34817,0.000513289
34881,0.000529446
34945,0.000504863
35009,0.000550313
35073,0.000511911
35137,0.000528663
35201,0.000516213
35265,0.000537456
35329,0.000517085
35393,0.000520653
35457,0.000510463
35521,0.000515232
35585,0.000529694
35649,0.000542977
35713,0.000561147
35777,0.000517799
35841,0.000570005
35905,0.000532317
35969,0.000527039
36033,0.000521631
36097,0.000520738
36161,0.000543411
36225,0.000516054
36289,0.000545129
36353,0.000530115
36417,0.000519636
36481,0.000553643
36545,0.000529351
36609,0.000581417
36673,0.000552015
36737,0.000542479
36801,0.000639069
36865,0.000546309
36929,0.000539720
36993,0.000555994
37057,0.000548959
37121,0.000531683
37185,0.000565034
37249,0.000543947
37313,0.000532873
37377,0.000561273
37441,0.000533131
37505,0.000538222
37569,0.000535990
37633,0.000579849
37697,0.000562126
37761,0.000574867
37825,0.000541020
37889,0.000566731
37953,0.000581873
38017,0.000582895
38081,0.000552600
38145,0.000547678
38209,0.000570204
38273,0.000549881
38337,0.000568547
38401,0.000522306
38465,0.000552571
38529,0.000566859
38593,0.000561829
38657,0.000564656
38721,0.000568447
38785,0.000614887
38849,0.000605698
38913,0.000774320
38977,0.000733030
39041,0.000574629
39105,0.000593503
39169,0.000592154
39233,0.000572516
39297,0.000725399
39361,0.000604647
39425,0.000629176
39489,0.000587143
39553,0.000591995
39617,0.000584870
39681,0.000990630
39745,0.000613041
39809,0.000636519
39873,0.000793957
39937,0.000632530
40001,0.000585088
40065,0.000580335
40129,0.000601629
40193,0.000579491
40257,0.000582499
40321,0.000604220
40385,0.000618777
40449,0.000600856
40513,0.000585743
40577,0.000587579
40641,0.000597185
40705,0.000607782
40769,0.000613606
40833,0.000586716
40897,0.000608754
40961,0.000596916
41025,0.000596093
41089,0.000602245
41153,0.000613031
41217,0.000662403
41281,0.000612336
41345,0.000625744
41409,0.000602603
41473,0.000634216
41537,0.000655868
41601,0.000621255
41665,0.000627393
41729,0.000606357
41793,0.000635894
41857,0.000617064
41921,0.000606367
41985,0.000608512
42049,0.000585351
42113,0.000611204
42177,0.000613766
42241,0.000628565
42305,0.000583503
42369,0.000618861
42433,0.000641774
42497,0.000586454
42561,0.000630541
42625,0.000606893
42689,0.000625456
42753,0.000626837
42817,0.000635934
42881,0.000634901
42945,0.000656772
43009,0.000631694
43073,0.000640404
43137,0.000623698
43201,0.000652382
43265,0.000596455
43329,0.000595273
43393,0.000620470
43457,0.000594508
43521,0.000592839
43585,0.000638576
43649,0.000658529
43713,0.000645509
43777,0.000600507
43841,0.000669137
43905,0.000642460
43969,0.000674758
44033,0.000687214
44097,0.000634941
44161,0.000649044
44225,0.000606665
44289,0.000609684
44353,0.000630025
44417,0.000610051
44481,0.000607608
44545,0.000663426
44609,0.000670507
44673,0.000684631
44737,0.000659374
44801,0.000688197
44865,0.000652898
44929,0.000626618
44993,0.000695209
45057,0.000635080
45121,0.000624592
45185,0.000698059
45249,0.000623212
45313,0.000626598
45377,0.000651796
45441,0.000628018
45505,0.000668243
45569,0.000655352
45633,0.000675663
45697,0.000636133
45761,0.000632835
45825,0.000638795
45889,0.000670895
45953,0.000678354
46017,0.000676675
46081,0.000676685
46145,0.000675035
46209,0.000683752
46273,0.000675880
46337,0.000703413
46401,0.000681764
46465,0.000681069
46529,0.000680184
46593,0.000680512
46657,0.000692311
46721,0.000683544
46785,0.000688206
46849,0.000686466
46913,0.000686218
46977,0.000690581
47041,0.000707896
47105,0.000730281
47169,0.000661726
47233,0.000670274
47297,0.000657322
47361,0.000652859
47425,0.000705909
47489,0.000730242
47553,0.000696694
47617,0.000668843
47681,0.000659280
47745,0.000662193
47809,0.000717827
47873,0.000704686
47937,0.000710551
48001,0.000739267
48065,0.000670701
48129,0.000665821
48193,0.000686566
48257,0.000706257
48321,0.000711992
48385,0.000752109
48449,0.000713005
48513,0.000673296
48577,0.000673633
48641,0.000668534
48705,0.000709666
48769,0.000704487
48833,0.000720907
48897,0.000759862
48961,0.000677600
49025,0.000754694
49089,0.000682172
49153,0.000730480
49217,0.000729704
49281,0.000683047
49345,0.000713741
49409,0.000736364
49473,0.000700511
49537,0.000685592
49601,0.000734247
49665,0.000749137
49729,0.000739645
49793,0.000693285
49857,0.000739326
49921,0.000699318
49985,0.000691635
50049,0.000773202
50113,0.000776421
50177,0.000733820
50241,0.000697033
50305,0.000695670
50369,0.000742875
50433,0.000709974
50497,0.000707264
50561,0.000741390
50625,0.000778332
50689,0.000711043
50753,0.000770972
50817,0.000704230
50881,0.000709332
50945,0.000786917
51009,0.000741709
51073,0.000764805
51137,0.000711998
51201,0.000720095
51265,0.000716474
51329,0.000720234
51393,0.000705522
51457,0.000726242
51521,0.000729325
51585,0.000711929
51649,0.000721249
51713,0.000723665
51777,0.000770595
51841,0.000764745
51905,0.000774782
51969,0.000718633
52033,0.000718215
52097,0.000718692
52161,0.000765074
52225,0.000770415
52289,0.000786230
52353,0.000790965
52417,0.000738566
52481,0.000717638
52545,0.000789404
52609,0.000774026
52673,0.000776632
52737,0.000734597
52801,0.000736109
52865,0.000783973
52929,0.000742376
52993,0.000787315
53057,0.000779317
53121,0.000788071
53185,0.000738108
53249,0.000769967
53313,0.000742912
53377,0.000810471
53441,0.000792786
53505,0.000791921
53569,0.000808272
53633,0.000798605
53697,0.000758838
53761,0.000752670
53825,0.000795361
53889,0.000829260
53953,0.000776055
54017,0.000754819
54081,0.000812171
54145,0.000784699
54209,0.000804622
54273,0.000765204
54337,0.000822019
54401,0.000763840
54465,0.000765024
54529,0.000793326
54593,0.000794849
54657,0.000767498
54721,0.000814326
54785,0.000769011
54849,0.000830559
54913,0.000837615
54977,0.000848773
55041,0.000796013
55105,0.000810276
55169,0.000766613
55233,0.000766494
55297,0.000774674
55361,0.000855471
55425,0.000772266
55489,0.000853859
55553,0.000816237
55617,0.000776586
55681,0.000844702
55745,0.000827654
55809,0.000876263
55873,0.000828240
55937,0.000781034
56001,0.000796591
56065,0.000800173
56129,0.000841468
56193,0.000833426
56257,0.000784727
56321,0.000778675
56385,0.000788420
56449,0.000789952
56513,0.000840562
56577,0.000842791
56641,0.000839497
56705,0.000788827
56769,0.000789892
56833,0.000796630
56897,0.000854754
56961,0.000828121
57025,0.000798084
57089,0.000801865
57153,0.000875755
57217,0.000799228
57281,0.000850157
57345,0.000795963
57409,0.000812286
57473,0.000799397
57537,0.000878094
57601,0.000834968
57665,0.000866867
57729,0.000803458
57793,0.000808992
57857,0.000806564
57921,0.000814694
57985,0.000888744
58049,0.000937751
58113,0.000884185
58177,0.000806902
58241,0.000823780
58305,0.000820564
58369,0.001049460
58433,0.000824149
58497,0.000834764
58561,0.000811313
58625,0.000821411
58689,0.000831149
58753,0.001070651
58817,0.000858553
58881,0.000824418
58945,0.000877614
59009,0.000895727
59073,0.000825991
59137,0.000905526
59201,0.000876388
59265,0.000883409
59329,0.000880431
59393,0.000878529
59457,0.000881676
59521,0.000881478
59585,0.000883210
59649,0.000888179
59713,0.000884127
59777,0.001023141
59841,0.000862786
59905,0.000876190
59969,0.000843546
60033,0.000846733
60097,0.001183366
60161,0.000894373
60225,0.000964139
60289,0.000994491
60353,0.000842581
60417,0.000924217
60481,0.000881576
60545,0.000909619
60609,0.000948007
60673,0.000917984
60737,0.000872416
60801,0.000904968
60865,0.000859738
60929,0.000852480
60993,0.000924387
61057,0.000869886
61121,0.001124932
61185,0.000875174
61249,0.000928170
61313,0.000861860
61377,0.000861800
61441,0.001155602
61505,0.000876558
61569,0.000913199
61633,0.000869054
61697,0.000868476
61761,0.000938803
61825,0.000858115
61889,0.000876676
61953,0.000866982
62017,0.000878240
62081,0.001058494
62145,0.000926738
62209,0.000896262
62273,0.000916118
62337,0.000920173
62401,0.000959395
62465,0.000932397
62529,0.000901691
62593,0.000946593
62657,0.000893463
62721,0.000945259
62785,0.001150171
62849,0.000983665
62913,0.000893094
62977,0.000882344
63041,0.000963580
63105,0.001062758
63169,0.000891171
63233,0.000887544
63297,0.000881796
63361,0.000898942
63425,0.001187660
63489,0.000896023
63553,0.000884526
63617,0.000885552
63681,0.000957892
63745,0.001200841
63809,0.000893702
63873,0.000888561
63937,0.000932058
64001,0.000973393
64065,0.001272274
64129,0.000927794
64193,0.000913418
64257,0.000971958
64321,0.000929507
64385,0.001051431
64449,0.001006967
64513,0.000952043
64577,0.000909851
64641,0.000916865
64705,0.000903096
64769,0.000995579
64833,0.000984054
64897,0.000918104
64961,0.000990353
65025,0.001190165
65089,0.000933283
65153,0.001000708
65217,0.000919140
65281,0.000919181
65345,0.001276915
65409,0.000927562
65473,0.000927802
65537,0.000924493
